Median,RMSE,Scale,AIC,NULL.AIC,
0.035610105,0.201944176,1887,-215.2106899,-136.6201075,0
-0.056284323,0.309998308,506,-152.5269896,-123.3772548,2.38872E-08
-0.030418572,0.288926632,734,-159.2224261,-122.8273989,5.77794E-10
0.413952673,1.179088499,274,-71.28662588,-68.59905867,0.030381634
-0.295995816,0.627372219,742,-104.701475,-100.0487126,0.009900221
0.098650036,0.781578549,252,-55.10219891,-53.9223884,0.074553375
0.871813168,1.313927787,887,-100.2492746,-101.0937871,0.282403365
0.288221165,1.233321536,260,-413.4562151,-409.6640627,0.016097868
-0.353948458,2.257826489,3007,-144.7991162,-146.3864991,0.520644129
0.009246475,1.12513749,1,0,0,
