"id","length","latency"
"t38",280.883779170737,0
"t53",128.630246631781,0
"t73",193.594872992389,0
"t80",22.2783741617608,0
"t82",77.5879347225543,0
"t40",364.078200351094,0
"t9",335.706023784766,0
"t48",27.0239907131613,0
"t35",161.192083038168,0
"t99",28.3380991152565,0
"t3",4.233319597329,0
"t14",67.5823417856645,0
"t91",147.206995689891,0
"t75",20.2539390058425,0
"t56",360.906026601979,0
"t12",97.1226814901565,0
"t13",154.786821413255,0
"t7",135.975318005368,0
"t58",86.9141181549053,0
"t63",53.0299297316078,0
"t47",120.657922220325,0
"t32",74.6544429727878,0
"t89",81.3405247837554,0
"t64",53.455796148246,0
"t49",141.178714481985,0
"t88",28.0100033673093,0
"t11",203.296363845561,0
"t28",81.9095193578805,0
"t19",366.238241147192,0
"t74",286.57142068954,0
"t85",117.752902805466,0
"t66",11.6854345938436,0
"t26",122.682564940419,0
"t95",484.202054543268,0
"t78",5.64449501386844,0
"t52",21.3367531882855,0
"t29",22.3867808326158,0
"t93",33.3124163829348,0
"t16",154.447357646345,0
"t94",149.323782673577,0
"t34",141.461449808192,0
"t83",154.350285430939,0
"t1",145.010793391052,0
"t15",385.890334558651,0
"t54",403.589201033738,0
"t24",192.482248572521,0
"t71",124.960475224393,0
"t27",67.7033538669175,0
"t70",159.556823394434,0
"t81",654.387105449312,0
"id","length","latency"
"t92",49.9307629602882,0
"t41",570.366777707287,0
"t5",48.7519279522265,0
"t90",115.076304907865,0
"t26",101.519779747472,0
"t67",153.081549970728,0
"t89",45.8769940056195,0
"t8",115.813927554815,0
"t15",83.1728065810182,0
"t23",147.83060854905,0
"t14",84.6383821290822,0
"t36",17.5929582983795,0
"t6",106.373243366604,0
"t50",179.649751898205,0
"t11",6.0367008717003,0
"t98",120.978893217286,0
"t22",2.0217069791438,0
"t45",42.2115146549245,0
"t100",5.42520579066513,0
"t86",23.3196844543741,0
"t60",149.436358621541,0
"t88",19.6076872154131,0
"t20",106.212958762339,0
"t40",200.986328184164,0
"t49",41.9335232908052,0
"t3",51.8237446906933,0
"t12",35.9444486607831,0
"t99",10.1281083854178,0
"t44",71.3411289824994,0
"t7",17.9675496769187,0
"t51",149.066781940604,0
"t93",112.53600841371,0
"t27",15.5080435911736,0
"t21",40.1869108772548,0
"t68",374.694612579068,0
"t59",51.3824269313618,0
"t24",53.3940042512709,0
"t87",19.0305564082828,0
"t85",182.958998386695,0
"t17",430.659712048093,0
"t61",179.501873850221,0
"t82",286.458860757746,0
"t42",224.579168980549,0
"t69",35.5895046730011,0
"t83",215.036866591634,0
"t38",317.036389315449,0
"t1",273.394470997789,0
"t25",198.743178294792,0
"t18",337.312485780972,0
"t28",333.835522671585,0
"id","length","latency"
"t12",0.915434271917434,0
"t90",9.0099220920265,0
"t6",111.224957822794,0
"t69",2.68939768959922,0
"t3",11.6903263199798,0
"t86",384.560439140033,0
"t83",28.729312261655,0
"t28",13.9172860109696,0
"t71",35.0434934816168,0
"t18",139.920086939189,0
"t47",51.8238437232905,0
