"ID","Type","Censored","Collection Date","Divergence","Estimated Date","Date Difference"
"1362_d50_ON1","PLASMA",0,42,0.0076159575205,141.9531677956,99.9531677956001
"1362_d50_OJ1","PLASMA",0,42,0.0045607774055,86.2283947076687,44.2283947076687
"1362_d50_OV1","PLASMA",0,42,0.0030388546865,58.4693772418055,16.4693772418055
"1362_d50_OS1","PLASMA",0,42,0.0060898946635,114.118636532868,72.1186365328679
"1362_d22_OI5","PLASMA",0,14,0.0045775817285,86.534896141569,72.534896141569
"1362_d113_PQ1","PLASMA",0,105,0.0060733642525,113.817131100339,8.81713110033948
"1362_d113_PT1","PLASMA",0,105,0.0121928373855,225.432891519793,120.432891519793
"1362_d113_PL1","PLASMA",0,105,0.0106561119975,197.403881667206,92.4038816672058
"1362_d113_PN1","PLASMA",0,105,0.006080876018,113.954141493253,8.95414149325285
"1362_d76_PE1","PLASMA",0,68,0.0030449262465,58.5801190935309,-9.41988090646907
"1362_d113_PK1","PLASMA",0,105,0.007611317111,141.868529326937,36.8685293269373
"1362_d113_PR1","PLASMA",0,105,0.006082721565,113.987803236236,8.98780323623591
"1362_d155_QF1","PLASMA",0,147,0.0076193017065,142.014163874063,-4.98583612593663
"1362_d190_QO1","PLASMA",0,182,0.0076143424995,141.923710717664,-40.0762892823362
"1362_d22_OI6","PLASMA",0,14,0.0045716144395,86.4260561344471,72.4260561344471
"1362_d22_OI1","PLASMA",0,14,0.0045653241535,86.311324843062,72.311324843062
"1362_d22_OH5","PLASMA",0,14,0.0060967688955,114.244018672033,100.244018672033
"1362_d76_PC1","PLASMA",0,68,0.0045629258135,86.2675804655598,18.2675804655598
"1362_d50_OL1","PLASMA",0,42,0.0045632114305,86.2727899595719,44.2727899595719
"1362_d190_QK1","PLASMA",0,182,0.0091865996515,170.600800032602,-11.3991999673983
"1362_d50_OM1","PLASMA",0,42,0.0060815895985,113.967156801662,71.9671568016621
"1362_d8_38","PLASMA",0,0,0.003043859486,58.5606619798538,58.5606619798538
"1362_d76_OY1","PLASMA",0,68,0.0061029187415,114.356188416525,46.3561884165248
"1362_d76_PB1","PLASMA",0,68,0.0045626100055,86.2618203046276,18.2618203046276
"1362_d22_OH7","PLASMA",0,14,0.0076324138905,142.253322761783,128.253322761783
"1362_d22_OI8","PLASMA",0,14,0.0030445258095,58.5728153470672,44.5728153470672
"1362_d8_316","PLASMA",0,0,0.001527626691,30.9054255389557,30.9054255389557
"1362_d155_PY1","PLASMA",0,147,0.010704170051,198.280433629948,51.2804336299482
"1362_d190_QM1","PLASMA",0,182,0.010687367435,197.973963330771,15.9739633307713
"1362_d190_QQ1","PLASMA",0,182,0.0075951403815,141.573474846756,-40.4265251532442
"1362_d190_QS1","PLASMA",0,182,0.0091138784375,169.274405844274,-12.7255941557255
"1362_d155_QE1","PLASMA",0,147,0.0091418113445,169.78388641356,22.7838864135604
"1362_d190_QP1","PLASMA",0,182,0.0045617997355,86.2470414339259,-95.7529585660741
"1362_d344_QV1","PLASMA",0,336,0.0122817584705,227.054762276293,-108.945237723707
"1362_d344_QY1","PLASMA",0,336,0.013781081424,254.401572684986,-81.5984273150142
"1362_d190_QR1","PLASMA",0,182,0.006080955398,113.955589339966,-68.044410660034
"1362_d190_QJ1","PLASMA",0,182,0.0075997294475,141.657176838753,-40.3428231612471
"1362_d50_OK1","PLASMA",0,42,0.0060828742545,113.990588207144,71.9905882071444
"1362_d190_QL1","PLASMA",0,182,0.012237846777,226.253837596212,44.2538375962122
"1362_d22_OH4","PLASMA",0,14,0.009191647181,170.692864141903,156.692864141903
"1362_d22_OI2","PLASMA",0,14,0.006184725775,115.848302860581,101.848302860581
"1362_d76_PG1","PLASMA",0,68,0.006095563159,114.222026714002,46.2220267140021
"1362_d190_QI1","PLASMA",0,182,0.0060901458355,114.123217769384,-67.876782230616
"1362_d76_OX1","PLASMA",0,68,0.0076150732095,141.937038458553,73.9370384585531
"1362_d155_PW1","PLASMA",0,147,0.006097692979,114.26087343719,-32.7391265628095
"1362_d190_QH1","PLASMA",0,182,0.010698501702,198.177046120892,16.1770461208919
"1362_d76_PD1","PLASMA",0,68,0.0045632647085,86.2737617204334,18.2737617204334
"1362_d113_PS1","PLASMA",0,105,0.004573637394,86.462953690806,-18.537046309194
"1362_d155_PX1","PLASMA",0,147,0.006076126443,113.86751190705,-33.1324880929505
"1362_d155_QC1","PLASMA",0,147,0.00608252296,113.98418079234,-33.0158192076602
"1362_d155_QG1","PLASMA",0,147,0.009135272919,169.66462919676,22.6646291967597
"1362_d113_PU1","PLASMA",0,105,0.009132140362,169.607493112654,64.6074931126536
"1362_d155_PV1","PLASMA",0,147,0.007614479646,141.926212192963,-5.07378780703704
"1362_d76_PI1","PLASMA",0,68,0.0045607391085,86.2276961918514,18.2276961918514
"1362_d8_318","PLASMA",0,0,0.0015266266905,30.8871860902644,30.8871860902644
"1362_d22_OH3","PLASMA",0,14,0.0030408588695,58.5059324165245,44.5059324165245
"1362_d76_PA1","PLASMA",0,68,0.006088220465,114.088100090496,46.0881000904963
"1362_d76_OZ1","PLASMA",0,68,0.007626482382,142.145135370929,74.145135370929
"1362_d50_OQ1","PLASMA",0,42,0.006086978434,114.065446141126,72.0654461411257
"1362_d50_OU1","PLASMA",0,42,0.0045632145375,86.2728466295107,44.2728466295107
"1362_d113_PP1","PLASMA",0,105,0.004562407585,86.2581282681498,-18.7418717318502
"1362_d155_PZ1","PLASMA",0,147,0.00760451929,141.744540881589,-5.25545911841076
"1362_d113_PO1","PLASMA",0,105,0.007614922957,141.934297937159,36.9342979371589
"1362_d76_PH1","PLASMA",0,68,0.0060944594565,114.201895798948,46.2018957989483
"1362_d22_OI3","PLASMA",0,14,0.0030408870015,58.5064455284385,44.5064455284385
"1362_d190_QU1","PLASMA",0,182,0.0045200247915,85.4850898672305,-96.5149101327695
"1362_d344_QX1","PLASMA",0,336,0.0138911592265,256.40933011186,-79.5906698881396
"1362_d344_RH1","PLASMA",0,336,0.0123080657715,227.534592703174,-108.465407296826
"1362_d344_QZ1","PLASMA",0,336,0.017092996857,314.809054091477,-21.1909459085232
"1362_d580_RI8","PLASMA",0,572,0.01708825137,314.722499068102,-257.277500931898
"1362_d580_RI2","PLASMA",0,572,0.023453794661,430.826441264774,-141.173558735226
"1362_d580_RI1","PLASMA",0,572,0.019974729707,367.37024627058,-204.62975372942
"1362_d580_RJ3","PLASMA",0,572,0.02495656974,458.236216507918,-113.763783492082
"1362_d580_RI5","PLASMA",0,572,0.024938303391,457.903048539138,-114.096951460862
"1362_d580_RJ2","PLASMA",0,572,0.0203565188075,374.333865498249,-197.666134501751
"1362_d1035_SB1","PLASMA",0,1027,0.0530567951545,970.768579904352,-56.2314200956483
"1362_d826_C","PLASMA",0,818,0.0361812087945,662.967342255621,-155.032657744379
"1362_d826_J","PLASMA",0,818,0.037841193256,693.244528530964,-124.755471469036
"1362_d769_RT1","PLASMA",0,761,0.039372739514,721.179073954883,-39.8209260451173
"1362_d826_F","PLASMA",0,818,0.02836840893,520.466251241979,-297.533748758021
"1362_d826_H","PLASMA",0,818,0.0329263247415,603.600081258326,-214.399918741674
"1362_d826_I","PLASMA",0,818,0.0391454831235,717.034044753095,-100.965955246905
"1362_d826_G","PLASMA",0,818,0.037625619395,689.312582120036,-128.687417879964
"1362_d826_A","PLASMA",0,818,0.042198837797,772.725522811096,-45.2744771889037
"1362_d826_D","PLASMA",0,818,0.04064195129,744.328785446813,-73.6712145531875
"1362_d580_RJ4","PLASMA",0,572,0.029917396544,548.718917224707,-23.2810827752935
"1362_d580_RI7","PLASMA",0,572,0.0291496653655,534.715930787214,-37.2840692127863
"1362_d769_RV1","PLASMA",0,761,0.0418808085535,766.924847642273,5.92484764227265
"1362_d580_RJ6","PLASMA",0,572,0.032278895548,591.791335606585,19.7913356065851
"1362_d580_RJ5","PLASMA",0,572,0.03233193449,592.758736184136,20.7587361841364
"1362_d580_RJ1","PLASMA",0,572,0.033900519314,621.368844294431,49.3688442944311
"1362_d769_RU1","PLASMA",0,761,0.055739091275,1019.69215790738,258.692157907379
"1362_d769_RW1","PLASMA",0,761,0.056434591685,1032.37769560761,271.377695607605
"1362_d769_RM1","PLASMA",0,761,0.043934917414,804.390642076874,43.3906420768741
"1362_d769_RK1","PLASMA",0,761,0.0471480416435,862.99622729692,101.99622729692
"1362_d769_RN1","PLASMA",0,761,0.0555257156335,1015.80030578819,254.800305788186
"1362_d769_RP1","PLASMA",0,761,0.033825166983,619.994460006577,-141.005539993423
"1362_d769_RO1","PLASMA",0,761,0.032988997853,604.743203688295,-156.256796311705
"1362_d580_RI6","PLASMA",0,572,0.037532865014,687.620794192784,115.620794192784
"1362_d580_RJ7","PLASMA",0,572,0.031381758875,575.428065471925,3.42806547192515
"1362_d580_RI4","PLASMA",0,572,0.0297274616945,545.254612014708,-26.7453879852919
"1362_d580_RI3","PLASMA",0,572,0.028060657593,514.853039327685,-57.1469606723153
"1362_d1035_RY1","PLASMA",0,1027,0.051126213568,935.555853719319,-91.4441462806808
"1362_d1035_RX1","PLASMA",0,1027,0.047878635603,876.321851672605,-150.678148327395
"1362_d1035_SG1","PLASMA",0,1027,0.045117697316,825.96388462592,-201.03611537408
"1362_d1245_3","PLASMA",0,1237,0.057643016181,1054.41868117925,-182.581318820748
