"ID","Type","Censored","Collection Date","Divergence","Estimated Date","Date Difference"
"1175V32.DQ853100_PLASMA_2616","PLASMA",0,2616,0.0872331864918,2566.51868216915,-49.4813178308495
"1175V32.DQ853099_PLASMA_2616","PLASMA",0,2616,0.0887974519583,2600.47280160042,-15.5271983995776
"1175V32.DQ853098_PLASMA_2616","PLASMA",0,2616,0.0915744183863,2660.74994238773,44.7499423877312
"1175V32.DQ853096_PLASMA_2616","PLASMA",0,2616,0.0919730504373,2669.40269382836,53.4026938283619
"1175V32.DQ853089_PLASMA_2616","PLASMA",0,2616,0.0852389316813,2523.23116642311,-92.7688335768898
"1175V32.DQ853091_PLASMA_2616","PLASMA",0,2616,0.0852170419428,2522.75602533532,-93.2439746646824
"1175V32.DQ853090_PLASMA_2616","PLASMA",0,2616,0.0852170418638,2522.75602362053,-93.243976379465
"1175V32.DQ853073_PBMC_2616","PBMC",1,2616,0.0802266598153,2414.43423827705,-201.565761722954
"1175V26.DQ853060_PBMC_2072","PBMC",1,2072,0.0631716393028,2044.23607448333,-27.7639255166714
"1175V26.DQ853059_PBMC_2072","PBMC",1,2072,0.0647601310433,2078.71605210069,6.71605210068674
"1175V26.DQ853069_PBMC_2072","PBMC",1,2072,0.0643090001813,2068.92375565515,-3.07624434484796
"1175V26.DQ853055_PBMC_2072","PBMC",1,2072,0.0659288094843,2104.08351575202,32.083515752015
"1175V32.DQ853074_PBMC_2616","PBMC",1,2616,0.0703692235248,2200.46763461438,-415.532365385616
"1175V32.DQ853075_PBMC_2616","PBMC",1,2616,0.0720007943093,2235.88269073107,-380.117309268932
"1175V26.DQ853071_PBMC_2072","PBMC",1,2072,0.0532390503443,1828.6381986872,-243.361801312803
"1175V26.DQ853072_PBMC_2072","PBMC",1,2072,0.0549934432683,1866.7192457643,-205.280754235699
"1175V32.DQ853092_PLASMA_2616","PLASMA",0,2616,0.0886143190183,2596.49769772597,-19.502302274032
"1175V32.DQ853095_PLASMA_2616","PLASMA",0,2616,0.0778232539263,2362.26564391466,-253.734356085341
"1175V32.DQ853078_PBMC_2616","PBMC",1,2616,0.0974752613988,2788.83429423365,172.834294233655
"1175V32.DQ853094_PLASMA_2616","PLASMA",0,2616,0.0925723608043,2682.41139101775,66.4113910177516
"1175V32.DQ853093_PLASMA_2616","PLASMA",0,2616,0.0909776833088,2647.7971447174,31.7971447173982
"1175V32.DQ853097_PLASMA_2616","PLASMA",0,2616,0.1089147355673,3037.1407872596,421.140787259596
"1175V32.DQ853082_PBMC_2616","PBMC",1,2616,0.0932212156813,2696.4955068274,80.4955068274007
"1175V32.DQ853080_PBMC_2616","PBMC",1,2616,0.0806032971793,2422.60957060612,-193.390429393878
"1175V26.DQ853054_PBMC_2072","PBMC",1,2072,0.0509551199998,1779.06295372358,-292.937046276418
"1175V26.DQ853053_PBMC_2072","PBMC",1,2072,0.0524677907213,1811.89715190666,-260.102848093343
"1175V21.DQ853033_PBMC_1623","PBMC",1,1623,0.0483258707383,1721.99217810945,98.9921781094513
"1175V21.DQ853032_PBMC_1623","PBMC",1,1623,0.0481970420983,1719.19580938406,96.1958093840612
"1175V21.DQ853046_PBMC_1623","PBMC",1,1623,0.0404384845083,1550.78769920907,-72.2123007909283
"1175V15.DQ853024_PBMC_728","PBMC",1,728,0.0222259444953,1155.46428896218,427.464288962179
"1175V21.DQ853031_PBMC_1623","PBMC",1,1623,0.0301968647083,1328.4819657475,-294.518034252495
"1175V15.DQ853012_PBMC_728","PBMC",1,728,0.0206493031913,1121.24153823172,393.241538231721
"1175V1.DQ852994_PBMC_0","PBMC",1,0,0.0253572498898,1223.43275059327,1223.43275059327
"1175V21.DQ853041_PBMC_1623","PBMC",1,1623,0.0253752915373,1223.8243645917,-399.175635408298
"1175V21.DQ853040_PBMC_1623","PBMC",1,1623,0.0269407128018,1257.80357190235,-365.196428097653
"1175V1.DQ853001_PBMC_0","PBMC",1,0,0.0253592321968,1223.47577876851,1223.47577876851
"1175V1.DQ853003_PBMC_0","PBMC",1,0,0.0237904685153,1189.42402058435,1189.42402058435
"1175V1.DQ852999_PBMC_0","PBMC",1,0,0.0237926949953,1189.47234880578,1189.47234880578
"1175V26.DQ853070_PBMC_2072","PBMC",1,2072,0.0237900315503,1189.41453577368,-882.585464226324
"1175V1.DQ853006_PBMC_0","PBMC",1,0,0.0237904927063,1189.42454567688,1189.42454567688
"1175V1.DQ852997_PBMC_0","PBMC",1,0,0.0237914701978,1189.44576321562,1189.44576321562
"1175V32.DQ853083_PBMC_2616","PBMC",1,2616,0.0237914701968,1189.44576319391,-1426.55423680609
"1175V32.DQ853086_PBMC_2616","PBMC",1,2616,0.0237914892348,1189.44617643485,-1426.55382356515
"1175V26.DQ853061_PBMC_2072","PBMC",1,2072,0.0237914724898,1189.44581296602,-882.554187033978
"1175V1.DQ853009_PBMC_0","PBMC",1,0,0.0222236506493,1155.4144984869,1155.4144984869
"1175V1.DQ852995_PBMC_0","PBMC",1,0,0.0222216506483,1155.37108624373,1155.37108624373
"1175V1.DQ852991_PBMC_0","PBMC",1,0,0.0222216506483,1155.37108624373,1155.37108624373
"1175V32.DQ853085_PBMC_2616","PBMC",1,2616,0.0237923693163,1189.46527958134,-1426.53472041866
"1175V1.DQ852998_PBMC_0","PBMC",1,0,0.0237923693173,1189.46527960305,1189.46527960305
"1175V1.DQ852993_PBMC_0","PBMC",1,0,0.0253632379268,1223.56272758746,1223.56272758746
"1175V15.DQ853020_PBMC_728","PBMC",1,728,0.0253670422518,1223.64530468717,495.645304687173
"1175V15.DQ853014_PBMC_728","PBMC",1,728,0.0222206506478,1155.34938012214,427.349380122142
"1175V15.DQ853016_PBMC_728","PBMC",1,728,0.0237864821113,1189.3374912577,461.337491257703
"1175V21.DQ853035_PBMC_1623","PBMC",1,1623,0.0253722412088,1223.75815382351,-399.24184617649
"1175V26.DQ853047_PBMC_2072","PBMC",1,2072,0.0269352038373,1257.68399370889,-814.316006291112
"1175V26.DQ853048_PBMC_2072","PBMC",1,2072,0.0285167822783,1292.01391048177,-779.98608951823
"1175V21.DQ853036_PBMC_1623","PBMC",1,1623,0.0253732412093,1223.7798599451,-399.220140054904
"1175V32.DQ853084_PBMC_2616","PBMC",1,2616,0.0253622325703,1223.54090520795,-1392.45909479205
"1175V1.DQ853008_PBMC_0","PBMC",1,0,0.0253635294023,1223.56905438694,1223.56905438694
"1175V21.DQ853029_PBMC_1623","PBMC",1,1623,0.0222186506468,1155.30596787897,-467.69403212103
"1175V15.DQ853017_PBMC_728","PBMC",1,728,0.0237860325063,1189.32773208179,461.327732081787
"1175V1.DQ853004_PBMC_0","PBMC",1,0,0.0237860355953,1189.32779913196,1189.32779913196
"1175V1.DQ852992_PBMC_0","PBMC",1,0,0.0237886944813,1189.3855132059,1189.3855132059
"1175V32.DQ853076_PBMC_2616","PBMC",1,2616,0.0269529908563,1258.07008071291,-1357.92991928709
"1175V15.DQ853015_PBMC_728","PBMC",1,728,0.0253638293238,1223.57556451623,495.575564516229
"1175V15.DQ853010_PBMC_728","PBMC",1,728,0.0253643894828,1223.58772338951,495.587723389511
"1175V15.DQ853018_PBMC_728","PBMC",1,728,0.0191182715648,1088.00879621156,360.008796211563
"1175V15.DQ853019_PBMC_728","PBMC",1,728,0.0175008838813,1052.90160005572,324.90160005572
"1175V21.DQ853042_PBMC_1623","PBMC",1,1623,0.0174103264873,1050.93595123389,-572.064048766114
"1175V15.DQ853011_PBMC_728","PBMC",1,728,0.0158289492868,1016.61040260958,288.61040260958
"1175V32.DQ853081_PBMC_2616","PBMC",1,2616,0.0212006171053,1133.20841909751,-1482.79158090249
"1175V15.DQ853023_PBMC_728","PBMC",1,728,0.0141972277433,981.192074101349,253.192074101349
"1175V32.DQ853079_PBMC_2616","PBMC",1,2616,0.0239607523058,1193.12021939694,-1422.87978060306
"1175V32.DQ853088_PBMC_2616","PBMC",1,2616,0.0305315693048,1335.7471007819,-1280.2528992181
"1175V32.DQ853087_PBMC_2616","PBMC",1,2616,0.0272938172543,1265.46809624854,-1350.53190375146
"1175V15.DQ853022_PBMC_728","PBMC",1,728,0.0092339895283,873.459475813522,145.459475813522
"1175V15.DQ853028_PLASMA_728","PLASMA",0,728,0.0059671289538,802.548638434957,74.5486384349565
"1175V15.DQ853027_PLASMA_728","PLASMA",0,728,0.0025196289838,727.71682233497,-0.283177665029939
"1175V15.DQ853025_PLASMA_728","PLASMA",0,728,0.0008767096168,692.055432629882,-35.9445673701182
"1175V15.DQ853026_PLASMA_728","PLASMA",0,728,0.0007672323337,689.679106600192,-38.3208933998078
