"PATID","SEQID","FULLSEQID","COLDATE","TYPE","CENSORED","DUPLICATES","NOTES","KEPT","DUPLICATE"
"patient_10138","p8c095.AF138523","p8c095.AF138523_PBMC_2799",2799,"PBMC",1,"",NA,1,"p8c095.AF138523_PBMC_2799"
"patient_10138","P8P041","P8P041_05.AF204653_PLASMA_1156",1156,"PLASMA",0,"",NA,1,"P8P041_05.AF204653_PLASMA_1156"
"patient_10138","P8P065","P8P065_09.AF204666_PLASMA_1886",1886,"PLASMA",0,"","recombinant",0,"P8P065_09.AF204666_PLASMA_1886"
"patient_10138","p8c059.AF138482","p8c059.AF138482_PBMC_1704",1704,"PBMC",1,"",NA,1,"p8c059.AF138482_PBMC_1704"
"patient_10138","p8c059.AF138481","p8c059.AF138481_PBMC_1704",1704,"PBMC",1,"",NA,1,"p8c059.AF138481_PBMC_1704"
"patient_10138","P8P041","P8P041_11.AF204657_PLASMA_1156",1156,"PLASMA",0,"",NA,1,"P8P041_11.AF204657_PLASMA_1156"
"patient_10138","P8P041","P8P041_07.AF204655_PLASMA_1156",1156,"PLASMA",0,"",NA,1,"P8P041_07.AF204655_PLASMA_1156"
"patient_10138","P8P041","P8P041_04.AF204652_PLASMA_1156",1156,"PLASMA",0,"",NA,1,"P8P041_04.AF204652_PLASMA_1156"
"patient_10138","p8c041.AF138460","p8c041.AF138460_PBMC_1156",1156,"PBMC",1,"",NA,1,"p8c041.AF138460_PBMC_1156"
"patient_10138","p8c041.AF138458","p8c041.AF138458_PBMC_1156",1156,"PBMC",1,"",NA,1,"p8c041.AF138458_PBMC_1156"
"patient_10138","p8c041.AF138454","p8c041.AF138454_PBMC_1156",1156,"PBMC",1,"",NA,1,"p8c041.AF138454_PBMC_1156"
"patient_10138","p8c041.AF138453","p8c041.AF138453_PBMC_1156",1156,"PBMC",1,"",NA,1,"p8c041.AF138453_PBMC_1156"
"patient_10138","p8c053.AF138470","p8c053.AF138470_PBMC_1521",1521,"PBMC",1,"",NA,1,"p8c053.AF138470_PBMC_1521"
"patient_10138","p8c059.AF138483","p8c059.AF138483_PBMC_1704",1704,"PBMC",1,"",NA,1,"p8c059.AF138483_PBMC_1704"
"patient_10138","p8c059.AF138478","p8c059.AF138478_PBMC_1704",1704,"PBMC",1,"",NA,1,"p8c059.AF138478_PBMC_1704"
"patient_10138","p8c046.AF138463","p8c046.AF138463_PBMC_1308",1308,"PBMC",1,"",NA,1,"p8c046.AF138463_PBMC_1308"
"patient_10138","P8P041","P8P041_06.AF204654_PLASMA_1156",1156,"PLASMA",0,"",NA,1,"P8P041_06.AF204654_PLASMA_1156"
"patient_10138","p8c065.AF138492","p8c065.AF138492_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138492_PBMC_1886"
"patient_10138","p8c070.AF138504","p8c070.AF138504_PBMC_2038",2038,"PBMC",1,"","recombinant",0,"p8c070.AF138504_PBMC_2038"
"patient_10138","p8c065.AF138487","p8c065.AF138487_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138487_PBMC_1886"
"patient_10138","p8c065.AF138488","p8c065.AF138488_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138488_PBMC_1886"
"patient_10138","P8P065","P8P065_18.AF204668_PLASMA_1886",1886,"PLASMA",0,"",NA,1,"P8P065_18.AF204668_PLASMA_1886"
"patient_10138","p8c065.AF138491","p8c065.AF138491_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138491_PBMC_1886"
"patient_10138","p8c065.AF138489","p8c065.AF138489_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138489_PBMC_1886"
"patient_10138","p8c065.AF138493","p8c065.AF138493_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138493_PBMC_1886"
"patient_10138","p8c053.AF138474","p8c053.AF138474_PBMC_1521",1521,"PBMC",1,"",NA,1,"p8c053.AF138474_PBMC_1521"
"patient_10138","p8c053.AF138473","p8c053.AF138473_PBMC_1521",1521,"PBMC",1,"",NA,1,"p8c053.AF138473_PBMC_1521"
"patient_10138","p8c053.AF138471","p8c053.AF138471_PBMC_1521",1521,"PBMC",1,"",NA,1,"p8c053.AF138471_PBMC_1521"
"patient_10138","p8c081.AF138517","p8c081.AF138517_PBMC_2373",2373,"PBMC",1,"",NA,1,"p8c081.AF138517_PBMC_2373"
"patient_10138","p8c070.AF138506","p8c070.AF138506_PBMC_2038",2038,"PBMC",1,"","recombinant",0,"p8c070.AF138506_PBMC_2038"
"patient_10138","p8c081.AF138508","p8c081.AF138508_PBMC_2373",2373,"PBMC",1,"",NA,1,"p8c081.AF138508_PBMC_2373"
"patient_10138","p8c070.AF138503","p8c070.AF138503_PBMC_2038",2038,"PBMC",1,"",NA,1,"p8c070.AF138503_PBMC_2038"
"patient_10138","P8P065","P8P065_01.AF204661_PLASMA_1886",1886,"PLASMA",0,"",NA,1,"P8P065_01.AF204661_PLASMA_1886"
"patient_10138","p8c070.AF138497","p8c070.AF138497_PBMC_2038",2038,"PBMC",1,"","recombinant",0,"p8c070.AF138497_PBMC_2038"
"patient_10138","p8p113.AY348514","p8p113.AY348514_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348514_PLASMA_3346"
"patient_10138","p8p113.AY348522","p8p113.AY348522_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348522_PLASMA_3346"
"patient_10138","p8p113.AY348528","p8p113.AY348528_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348528_PLASMA_3346"
"patient_10138","p8p113.AY348526","p8p113.AY348526_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348526_PLASMA_3346"
"patient_10138","p8p113.AY348521","p8p113.AY348521_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348521_PLASMA_3346"
"patient_10138","p8p113.AY348527","p8p113.AY348527_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348527_PLASMA_3346"
"patient_10138","p8p113.AY348520","p8p113.AY348520_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348520_PLASMA_3346"
"patient_10138","p8c081.AF138515","p8c081.AF138515_PBMC_2373",2373,"PBMC",1,"",NA,1,"p8c081.AF138515_PBMC_2373"
"patient_10138","p8c081.AF138511","p8c081.AF138511_PBMC_2373",2373,"PBMC",1,"",NA,1,"p8c081.AF138511_PBMC_2373"
"patient_10138","p8c065.AF138495","p8c065.AF138495_PBMC_1886",1886,"PBMC",1,"",NA,1,"p8c065.AF138495_PBMC_1886"
"patient_10138","P8P065","P8P065_05.AF204664_PLASMA_1886",1886,"PLASMA",0,"",NA,1,"P8P065_05.AF204664_PLASMA_1886"
"patient_10138","p8p113.AY348518","p8p113.AY348518_PLASMA_3346",3346,"PLASMA",0,"",NA,1,"p8p113.AY348518_PLASMA_3346"
"patient_10138","p8p101.AY348481","p8p101.AY348481_PLASMA_2981",2981,"PLASMA",0,"",NA,1,"p8p101.AY348481_PLASMA_2981"
"patient_10138","p8c095.AF138524","p8c095.AF138524_PBMC_2799",2799,"PBMC",1,"",NA,1,"p8c095.AF138524_PBMC_2799"
"patient_10138","p8p106.AY348502","p8p106.AY348502_PLASMA_3134",3134,"PLASMA",0,"",NA,1,"p8p106.AY348502_PLASMA_3134"
"patient_10138","p8p101.AY348487","p8p101.AY348487_PLASMA_2981",2981,"PLASMA",0,"",NA,1,"p8p101.AY348487_PLASMA_2981"
"patient_10138","p8p106.AY348512","p8p106.AY348512_PLASMA_3134",3134,"PLASMA",0,"",NA,1,"p8p106.AY348512_PLASMA_3134"
"patient_10138","p8p101.AY348494","p8p101.AY348494_PLASMA_2981",2981,"PLASMA",0,"p8p101.AY348489_PLASMA_2981",NA,1,"p8p101.AY348494_PLASMA_2981"
"patient_10138","p8p101.AY348489","p8p101.AY348489_PLASMA_2981",2981,"PLASMA",0,"p8p101.AY348494_PLASMA_2981",NA,0,"p8p101.AY348494_PLASMA_2981"
"patient_10138","p8p106.AY348500","p8p106.AY348500_PLASMA_3134",3134,"PLASMA",0,"p8p106.AY348497_PLASMA_3134",NA,1,"p8p106.AY348500_PLASMA_3134"
"patient_10138","p8p106.AY348497","p8p106.AY348497_PLASMA_3134",3134,"PLASMA",0,"p8p106.AY348500_PLASMA_3134",NA,0,"p8p106.AY348500_PLASMA_3134"
"patient_10138","p8p106.AY348504","p8p106.AY348504_PLASMA_3134",3134,"PLASMA",0,"",NA,1,"p8p106.AY348504_PLASMA_3134"
"patient_10138","p8p106.AY348508","p8p106.AY348508_PLASMA_3134",3134,"PLASMA",0,"",NA,1,"p8p106.AY348508_PLASMA_3134"
"patient_10138","p8p106.AY348503","p8p106.AY348503_PLASMA_3134",3134,"PLASMA",0,"",NA,1,"p8p106.AY348503_PLASMA_3134"
"patient_10138","p8c059.AF138479","p8c059.AF138479_PBMC_1704",1704,"PBMC",1,"",NA,1,"p8c059.AF138479_PBMC_1704"
"patient_10138","P8P065","P8P065_03.AF204662_PLASMA_1886",1886,"PLASMA",0,"",NA,1,"P8P065_03.AF204662_PLASMA_1886"
"patient_10138","p8c070.AF138498","p8c070.AF138498_PBMC_2038",2038,"PBMC",1,"",NA,1,"p8c070.AF138498_PBMC_2038"
"patient_10138","p8c081.AF138518","p8c081.AF138518_PBMC_2373",2373,"PBMC",1,"",NA,1,"p8c081.AF138518_PBMC_2373"
"patient_10138","P8P065","P8P065_20.AF204670_PLASMA_1886",1886,"PLASMA",0,"",NA,1,"P8P065_20.AF204670_PLASMA_1886"
"patient_10138","P8P065","P8P065_07.AF204665_PLASMA_1886",1886,"PLASMA",0,"",NA,1,"P8P065_07.AF204665_PLASMA_1886"
"patient_10138","p8c070.AF138502","p8c070.AF138502_PBMC_2038",2038,"PBMC",1,"",NA,1,"p8c070.AF138502_PBMC_2038"
