"PATID","SEQID","FULLSEQID","COLDATE","TYPE","CENSORED","KEPT","DUPLICATE","DUPLICATES","NOTES"
"patient_13336","AY824121","AY824121_env_DPI_657",657,"PLASMA",0,1,"AY824121_env_DPI_657",NA,NA
"patient_13336","AY824137","AY824137_env_DPI_832",832,"PLASMA",0,1,"AY824137_env_DPI_832",NA,NA
"patient_13336","AY824118","AY824118_env_DPI_461",461,"PLASMA",0,1,"AY824118_env_DPI_461",NA,NA
"patient_13336","AY824136","AY824136_env_DPI_832",832,"PLASMA",0,1,"AY824136_env_DPI_832",NA,NA
"patient_13336","AY824133","AY824133_env_DPI_832",832,"PLASMA",0,1,"AY824133_env_DPI_832",NA,NA
"patient_13336","AY824128","AY824128_env_DPI_657",657,"PLASMA",0,1,"AY824128_env_DPI_657",NA,NA
"patient_13336","AY824134","AY824134_env_DPI_832",832,"PLASMA",0,1,"AY824134_env_DPI_832",NA,NA
"patient_13336","AY824130","AY824130_env_DPI_832",832,"PLASMA",0,1,"AY824130_env_DPI_832",NA,NA
"patient_13336","AY824135","AY824135_env_DPI_832",832,"PLASMA",0,1,"AY824135_env_DPI_832",NA,NA
"patient_13336","AY824132","AY824132_env_DPI_832",832,"PLASMA",0,1,"AY824132_env_DPI_832",NA,NA
"patient_13336","AY824122","AY824122_env_DPI_657",657,"PLASMA",0,1,"AY824122_env_DPI_657",NA,NA
"patient_13336","AY824125","AY824125_env_DPI_657",657,"PLASMA",0,1,"AY824125_env_DPI_657",NA,NA
"patient_13336","AY824127","AY824127_env_DPI_657",657,"PLASMA",0,1,"AY824127_env_DPI_657",NA,NA
"patient_13336","AY824123","AY824123_env_DPI_657",657,"PLASMA",0,1,"AY824123_env_DPI_657",NA,NA
"patient_13336","AY824124","AY824124_env_DPI_657",657,"PLASMA",0,1,"AY824124_env_DPI_657",NA,NA
"patient_13336","AY824120","AY824120_env_DPI_657",657,"PLASMA",0,1,"AY824120_env_DPI_657",NA,NA
"patient_13336","AY824126","AY824126_env_DPI_657",657,"PLASMA",0,1,"AY824126_env_DPI_657",NA,NA
"patient_13336","AY824129","AY824129_env_DPI_657",657,"PLASMA",0,1,"AY824129_env_DPI_657",NA,NA
"patient_13336","AY824131","AY824131_env_DPI_832",832,"PLASMA",0,1,"AY824131_env_DPI_832",NA,NA
"patient_13336","AY824111","AY824111_env_DPI_461",461,"PLASMA",0,1,"AY824111_env_DPI_461",NA,NA
"patient_13336","AY824103","AY824103_env_DPI_90",90,"PLASMA",0,1,"AY824103_env_DPI_90",NA,NA
"patient_13336","AY824107","AY824107_env_DPI_90",90,"PLASMA",0,1,"AY824107_env_DPI_90",NA,NA
"patient_13336","AY824106","AY824106_env_DPI_90",90,"PLASMA",0,1,"AY824106_env_DPI_90",NA,NA
"patient_13336","AY824108","AY824108_env_DPI_90",90,"PLASMA",0,1,"AY824108_env_DPI_90",NA,NA
"patient_13336","AY824105","AY824105_env_DPI_90",90,"PLASMA",0,1,"AY824105_env_DPI_90",NA,NA
"patient_13336","AY824110","AY824110_env_DPI_90",90,"PLASMA",0,1,"AY824110_env_DPI_90",NA,NA
"patient_13336","AY824096","AY824096_env_DPI_90",90,"PLASMA",0,1,"AY824096_env_DPI_90",NA,NA
"patient_13336","AY824098","AY824098_env_DPI_90",90,"PLASMA",0,1,"AY824098_env_DPI_90",NA,NA
"patient_13336","AY824104","AY824104_env_DPI_90",90,"PLASMA",0,1,"AY824104_env_DPI_90",NA,NA
"patient_13336","AY824102","AY824102_env_DPI_90",90,"PLASMA",0,1,"AY824102_env_DPI_90",NA,NA
"patient_13336","AY824109","AY824109_env_DPI_90",90,"PLASMA",0,1,"AY824109_env_DPI_90",NA,NA
"patient_13336","AY824101","AY824101_env_DPI_90",90,"PLASMA",0,1,"AY824101_env_DPI_90",NA,NA
"patient_13336","AY824097","AY824097_env_DPI_90",90,"PLASMA",0,1,"AY824097_env_DPI_90",NA,NA
"patient_13336","AY824100","AY824100_env_DPI_90",90,"PLASMA",0,1,"AY824100_env_DPI_90",NA,NA
"patient_13336","AY824099","AY824099_env_DPI_90",90,"PLASMA",0,1,"AY824099_env_DPI_90",NA,NA
"patient_13336","AY824117","AY824117_env_DPI_461",461,"PLASMA",0,1,"AY824117_env_DPI_461",NA,NA
"patient_13336","AY824112","AY824112_env_DPI_461",461,"PLASMA",0,1,"AY824112_env_DPI_461",NA,NA
"patient_13336","AY824113","AY824113_env_DPI_461",461,"PLASMA",0,1,"AY824113_env_DPI_461",NA,NA
"patient_13336","AY824115","AY824115_env_DPI_461",461,"PLASMA",0,1,"AY824115_env_DPI_461",NA,NA
"patient_13336","AY824119","AY824119_env_DPI_461",461,"PLASMA",0,1,"AY824119_env_DPI_461",NA,NA
"patient_13336","AY824116","AY824116_env_DPI_461",461,"PLASMA",0,1,"AY824116_env_DPI_461",NA,NA
"patient_13336","AY824114","AY824114_env_DPI_461",461,"PLASMA",0,1,"AY824114_env_DPI_461",NA,NA
