"ID","Type","Censored","Collection Date","Divergence","Estimated Date","Date Difference"
"AY824170_env_DPI_465","RNA",0,460,0.0221317576915,772.376982747522,312.376982747522
"AY824178_env_DPI_892","RNA",0,887,0.033763979866,1364.42688019387,477.426880193868
"AY824175_env_DPI_892","RNA",0,887,0.030697469806,1208.34948248725,321.349482487249
"AY824177_env_DPI_892","RNA",1,887,0.0165293992455,487.231488305095,-399.768511694905
"AY824164_env_DPI_465","RNA",1,460,0.0137379202435,345.152457139344,-114.847542860656
"AY824165_env_DPI_465","RNA",0,460,0.0193021160795,628.355573848795,168.355573848795
"AY824176_env_DPI_892","RNA",1,887,0.0215417344895,742.346334175416,-144.653665824584
"AY824174_env_DPI_892","RNA",1,887,0.016539628307,487.752120968502,-399.247879031498
"AY824172_env_DPI_892","RNA",1,887,0.028047817754,1073.4890747232,186.489074723198
"AY824179_env_DPI_892","RNA",0,887,0.010955111599,203.514724651669,-683.485275348331
"AY824169_env_DPI_465","RNA",0,460,0.016540022783,487.772198772368,27.7721987723676
"AY824167_env_DPI_465","RNA",0,460,0.0137408806305,345.30313314892,-114.69686685108
"AY824173_env_DPI_892","RNA",0,887,0.0165452130335,488.036369042686,-398.963630957314
"AY824171_env_DPI_465","RNA",0,460,0.01886388611,606.050806573186,146.050806573186
"AY824168_env_DPI_465","RNA",1,460,0.018803146245,602.959305198411,142.959305198411
"AY824166_env_DPI_465","RNA",1,460,0.013143654216,314.905859768765,-145.094140231235
"AY824158_env_DPI_24","RNA",0,19,0.0103141089625,170.889355267425,151.889355267425
"AY824163_env_DPI_24","RNA",1,19,0.0131019453935,312.78298902977,293.78298902977
"AY824161_env_DPI_24","RNA",1,19,0.007530357147,29.2036178254561,10.2036178254561
"AY824159_env_DPI_24","RNA",0,19,0.010284467559,169.380684814,150.380684814
"AY824162_env_DPI_24","RNA",1,19,0.015846470998,452.472214210249,433.472214210249
"AY824156_env_DPI_24","RNA",1,19,0.013063088468,310.805272441122,291.805272441122
"AY824157_env_DPI_24","RNA",1,19,0.0158696866235,453.65382925252,434.65382925252
"AY824160_env_DPI_24","RNA",0,19,0.004785461584,-110.504437281816,-129.504437281816
"AY824152_env_DPI_5","RNA",1,0,0.004785169473,-110.519304973045,-110.519304973045
"AY824153_env_DPI_5","RNA",1,0,0.0075210584995,28.7303408181759,28.7303408181759
"AY824155_env_DPI_5","RNA",0,0,0.004783163228,-110.62141763292,-110.62141763292
"AY824154_env_DPI_5","RNA",0,0,0.0007022296718,-318.330336632949,-318.330336632949
