"PATID","SEQID","FULLSEQID","COLDATE","TYPE","CENSORED","DUPLICATES","NOTES","KEPT","DUPLICATE"
"patient_10769","CR109w42","CR109w42_02.AY656330_PBMC_1367",1367,"PBMC",1,"",NA,1,"CR109w42_02.AY656330_PBMC_1367"
"patient_10769","CR109w42","CR109w42_09.AY656337_PBMC_1367",1367,"PBMC",1,"CR109w42_07.AY656335_PBMC_1367;CR109w42_06.AY656334_PBMC_1367;CR109w42_03.AY656331_PBMC_1367",NA,1,"CR109w42_09.AY656337_PBMC_1367"
"patient_10769","CR109w42","CR109w42_07.AY656335_PBMC_1367",1367,"PBMC",1,"CR109w42_09.AY656337_PBMC_1367;CR109w42_06.AY656334_PBMC_1367;CR109w42_03.AY656331_PBMC_1367",NA,0,"CR109w42_09.AY656337_PBMC_1367"
"patient_10769","CR109w42","CR109w42_06.AY656334_PBMC_1367",1367,"PBMC",1,"CR109w42_09.AY656337_PBMC_1367;CR109w42_07.AY656335_PBMC_1367;CR109w42_03.AY656331_PBMC_1367",NA,0,"CR109w42_09.AY656337_PBMC_1367"
"patient_10769","CR109w42","CR109w42_03.AY656331_PBMC_1367",1367,"PBMC",1,"CR109w42_09.AY656337_PBMC_1367;CR109w42_07.AY656335_PBMC_1367;CR109w42_06.AY656334_PBMC_1367",NA,0,"CR109w42_09.AY656337_PBMC_1367"
"patient_10769","CR109w42","CR109w42_01.AY656329_PBMC_1367",1367,"PBMC",1,"",NA,1,"CR109w42_01.AY656329_PBMC_1367"
"patient_10769","TD109pr","TD109pr_15.AY375614_PBMC_30",30,"PBMC",1,"",NA,1,"TD109pr_15.AY375614_PBMC_30"
"patient_10769","Tx109pr","Tx109pr_07.AY375590_PBMC_30",30,"PBMC",1,"","recombinant",0,"Tx109pr_07.AY375590_PBMC_30"
"patient_10769","KPR109pre","KPR109pre_14.AY656389_PLASMA_0",0,"PLASMA",0,"",NA,1,"KPR109pre_14.AY656389_PLASMA_0"
"patient_10769","PR109pr","PR109pr_09.AY375576_PLASMA_30",30,"PLASMA",0,"",NA,1,"PR109pr_09.AY375576_PLASMA_30"
"patient_10769","PR109pre","PR109pre_14.AY656262_PLASMA_0",0,"PLASMA",0,"",NA,1,"PR109pre_14.AY656262_PLASMA_0"
"patient_10769","KPR109w2","KPR109w2_04.AY656395_PLASMA_1073",1073,"PLASMA",0,"",NA,1,"KPR109w2_04.AY656395_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_11.AY656402_PLASMA_1073",1073,"PLASMA",0,"",NA,1,"KPR109w2_11.AY656402_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_07.AY656398_PLASMA_1073",1073,"PLASMA",0,"",NA,1,"KPR109w2_07.AY656398_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_03.AY656394_PLASMA_1073",1073,"PLASMA",0,"",NA,1,"KPR109w2_03.AY656394_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_16.AY656407_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,1,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_15.AY656406_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_14.AY656405_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_13.AY656404_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_12.AY656403_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_10.AY656401_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_09.AY656400_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_08.AY656399_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_06.AY656397_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_05.AY656396_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
"patient_10769","KPR109w2","KPR109w2_05.AY656396_PLASMA_1073",1073,"PLASMA",0,"KPR109w2_16.AY656407_PLASMA_1073;KPR109w2_15.AY656406_PLASMA_1073;KPR109w2_14.AY656405_PLASMA_1073;KPR109w2_13.AY656404_PLASMA_1073;KPR109w2_12.AY656403_PLASMA_1073;KPR109w2_10.AY656401_PLASMA_1073;KPR109w2_09.AY656400_PLASMA_1073;KPR109w2_08.AY656399_PLASMA_1073;KPR109w2_06.AY656397_PLASMA_1073;KPR109w2_02.AY656393_PLASMA_1073;KPR109w2_01.AY656392_PLASMA_1073",NA,0,"KPR109w2_16.AY656407_PLASMA_1073"
