"PATID","SEQID","FULLSEQID","COLDATE","TYPE","CENSORED","KEPT","DUPLICATE","DUPLICATES","NOTES"
"patient_34411","QJ","QJ_471_08R.KC629111_PLASMA_463",463,"PLASMA",0,0,"QJ_471_08R.KC629111_PLASMA_463","","recombinant"
"patient_34411","QJ","QJ_471_12R.KC629114_PLASMA_463",463,"PLASMA",0,1,"QJ_471_12R.KC629114_PLASMA_463","QJ_471_07R.KC629110_PLASMA_463;QJ_471_16R.KC629117_PLASMA_463;QJ_471_14R.KC629115_PLASMA_463",NA
"patient_34411","QJ","QJ_471_07R.KC629110_PLASMA_463",463,"PLASMA",0,0,"QJ_471_12R.KC629114_PLASMA_463","QJ_471_12R.KC629114_PLASMA_463;QJ_471_16R.KC629117_PLASMA_463;QJ_471_14R.KC629115_PLASMA_463",NA
"patient_34411","QJ","QJ_471_16R.KC629117_PLASMA_463",463,"PLASMA",0,0,"QJ_471_12R.KC629114_PLASMA_463","QJ_471_12R.KC629114_PLASMA_463;QJ_471_07R.KC629110_PLASMA_463;QJ_471_14R.KC629115_PLASMA_463",NA
"patient_34411","QJ","QJ_471_14R.KC629115_PLASMA_463",463,"PLASMA",0,0,"QJ_471_12R.KC629114_PLASMA_463","QJ_471_12R.KC629114_PLASMA_463;QJ_471_07R.KC629110_PLASMA_463;QJ_471_16R.KC629117_PLASMA_463",NA
"patient_34411","QJ","QJ_471_01R.KC629104_PLASMA_463",463,"PLASMA",0,1,"QJ_471_01R.KC629104_PLASMA_463","",NA
"patient_34411","QJ","QJ_471_15R.KC629116_PLASMA_463",463,"PLASMA",0,1,"QJ_471_15R.KC629116_PLASMA_463","",NA
"patient_34411","QJ","QJ_377_02R.KC629096_PLASMA_369",369,"PLASMA",0,1,"QJ_377_02R.KC629096_PLASMA_369","",NA
"patient_34411","QJ","QJ_344_08.KC630514_PBMC_336",336,"PBMC",1,1,"QJ_344_08.KC630514_PBMC_336","",NA
"patient_34411","QJ","QJ_377_03R.KC629097_PLASMA_369",369,"PLASMA",0,1,"QJ_377_03R.KC629097_PLASMA_369","",NA
"patient_34411","QJ","QJ_377_09R.KC629102_PLASMA_369",369,"PLASMA",0,1,"QJ_377_09R.KC629102_PLASMA_369","QJ_377_10R.KC629103_PLASMA_369;QJ_377_07R.KC629101_PLASMA_369",NA
"patient_34411","QJ","QJ_377_10R.KC629103_PLASMA_369",369,"PLASMA",0,0,"QJ_377_09R.KC629102_PLASMA_369","QJ_377_09R.KC629102_PLASMA_369;QJ_377_07R.KC629101_PLASMA_369",NA
"patient_34411","QJ","QJ_377_07R.KC629101_PLASMA_369",369,"PLASMA",0,0,"QJ_377_09R.KC629102_PLASMA_369","QJ_377_09R.KC629102_PLASMA_369;QJ_377_10R.KC629103_PLASMA_369",NA
"patient_34411","QJ","QJ_377_06R.KC629100_PLASMA_369",369,"PLASMA",0,1,"QJ_377_06R.KC629100_PLASMA_369","",NA
"patient_34411","QJ","QJ_471_03R.KC629106_PLASMA_463",463,"PLASMA",0,0,"QJ_471_03R.KC629106_PLASMA_463","","recombinant"
"patient_34411","QJ","QJ_377_05R.KC629099_PLASMA_369",369,"PLASMA",0,1,"QJ_377_05R.KC629099_PLASMA_369","",NA
"patient_34411","QJ","QJ_344_11.KC630517_PBMC_336",336,"PBMC",1,1,"QJ_344_11.KC630517_PBMC_336","",NA
"patient_34411","QJ","QJ_071_12.KC630488_PBMC_63",63,"PBMC",1,1,"QJ_071_12.KC630488_PBMC_63","",NA
"patient_34411","QJ","QJ_471_09R.KC629112_PLASMA_463",463,"PLASMA",0,1,"QJ_471_09R.KC629112_PLASMA_463","",NA
"patient_34411","QJ","QJ_377_04R.KC629098_PLASMA_369",369,"PLASMA",0,1,"QJ_377_04R.KC629098_PLASMA_369","",NA
"patient_34411","QJ","QJ_344_09.KC630515_PBMC_336",336,"PBMC",1,1,"QJ_344_09.KC630515_PBMC_336","",NA
"patient_34411","QJ","QJ_344_03.KC630512_PBMC_336",336,"PBMC",1,1,"QJ_344_03.KC630512_PBMC_336","",NA
"patient_34411","QJ","QJ_344_01.KC630510_PBMC_336",336,"PBMC",1,1,"QJ_344_01.KC630510_PBMC_336","",NA
"patient_34411","QJ","QJ_344_13.KC630519_PBMC_336",336,"PBMC",1,1,"QJ_344_13.KC630519_PBMC_336","",NA
"patient_34411","QJ","QJ_344_04.KC630513_PBMC_336",336,"PBMC",1,1,"QJ_344_04.KC630513_PBMC_336","",NA
"patient_34411","QJ","QJ_198_11.KC630504_PBMC_190",190,"PBMC",1,1,"QJ_198_11.KC630504_PBMC_190","",NA
"patient_34411","QJ","QJ_344_10.KC630516_PBMC_336",336,"PBMC",1,1,"QJ_344_10.KC630516_PBMC_336","",NA
"patient_34411","QJ","QJ_198_04.KC630499_PBMC_190",190,"PBMC",1,1,"QJ_198_04.KC630499_PBMC_190","",NA
"patient_34411","QJ","QJ_198_12.KC630505_PBMC_190",190,"PBMC",1,1,"QJ_198_12.KC630505_PBMC_190","",NA
"patient_34411","QJ","QJ_198_05.KC630500_PBMC_190",190,"PBMC",1,1,"QJ_198_05.KC630500_PBMC_190","",NA
"patient_34411","QJ","QJ_198_01.KC630496_PBMC_190",190,"PBMC",1,0,"QJ_071_06.KC630482_PBMC_63","QJ_071_06.KC630482_PBMC_63;QJ_071_01.KC630477_PBMC_63",NA
"patient_34411","QJ","QJ_071_06.KC630482_PBMC_63",63,"PBMC",1,1,"QJ_071_06.KC630482_PBMC_63","QJ_071_01.KC630477_PBMC_63;QJ_198_01.KC630496_PBMC_190",NA
"patient_34411","QJ","QJ_071_01.KC630477_PBMC_63",63,"PBMC",1,0,"QJ_071_06.KC630482_PBMC_63","QJ_071_06.KC630482_PBMC_63;QJ_198_01.KC630496_PBMC_190",NA
"patient_34411","QJ","QJ_198_15.KC630508_PBMC_190",190,"PBMC",1,1,"QJ_198_15.KC630508_PBMC_190","QJ_198_13.KC630506_PBMC_190;QJ_198_07.KC630502_PBMC_190;QJ_198_16.KC630509_PBMC_190;QJ_198_08.KC630503_PBMC_190;QJ_198_02.KC630497_PBMC_190",NA
